# Same as v2 except for the masses w/o vertexing in the selection (w/ vertexing in this dump). 202 selected events.
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa   mass[mm]    mmgMass  mmgDeltaR  kRatio(mm
149011   340   509755597  11.856735  21.929876  44.414581  -0.350156  -0.364036  -1.645534  0.4838466  0.5676447  -2.705369  75.527351  93.945060  0.0848916  0.8364472
149011   583   823224622   20.81497  25.476249  40.463352  0.5960569  0.1860753  0.9940859  2.1333692  2.1301434  -1.073072  68.934936  91.023895  0.4099951  1.0084421
149011   427   623657819  20.900190  20.344116  31.289409  -0.863310  -0.860368  0.6896292  1.1797555  1.1665548  -1.990715  66.510078  94.838768  0.0135791  0.8514016
149058    32    37963087  11.647224  27.171323  54.974689  -0.781370  -0.788003  -0.631669  -1.781205  -1.788577  0.9295714  75.695655  90.386543  0.0101260  1.0596136
149181  1672  1598572588  29.222635  18.085430  36.206493  0.9754208  0.9957652  1.7501131  3.0429136  2.4044172  -0.501154  54.378936   88.81147  0.6387131  1.0867476
149181  1675  1600963406  10.978957  34.819496  39.280330  -1.972185  -1.284811  -0.910180  -1.335251  -1.250893  1.6056791  74.155509  89.059478  0.6925237  1.1576895
149181   235    53945760  14.572369  25.089902  36.152839  1.0314030  1.0274446  -0.263395  -2.711776  -3.056775  -0.428373  71.430572  88.891014  0.3450963  1.1477399
149181   257    86322343  20.288833  15.033199  36.516395  -0.741541  -0.758857  -2.161668  0.0729207  0.0606546  -2.871539  59.268211  91.189323  0.0211422  0.9999345
149181  1033  1018028840  16.609806  27.551609  36.203460  -0.012446  -0.126590  1.5155979  -0.008884  0.0109605  -1.456036  72.024742  89.244964  0.1156644  1.1262161
149181   495   413953369  35.690704  21.740999  37.333576  0.9011927  0.7781217  0.5709094  1.3012512  1.6262444  -1.617462  57.142757  93.725967  0.3473081  0.9149562
149181   594   537206767  33.613895   13.69489  42.781692  0.7659617  0.7568840  0.9530342  -2.906289  -2.941641  0.1871617   48.35849  89.975685  0.0363203  1.0381364
149181   602   546323438  20.777757  24.288000  43.132026  -0.144625  -0.411355  -0.532782  0.0546900  0.1020130  -2.955235  64.793350  89.068359  0.2709615  1.1022774
149181   617   564519575  25.118845  22.049701  43.734096  1.0571667  1.2309103  1.4265126  -2.188961  -2.303026  0.8352936  62.728900  92.708976  0.2077021  0.9399628
149181   618   566578473  13.329362  27.534246  39.584339  -0.458418  -0.453052  0.4340651  -2.245110  -2.239019  0.9775208  72.512100  88.405777  0.0080227  1.1953399
149181   643   595950745  10.909122  17.571117  41.260765  0.3358939  0.2897430  1.8402675  0.2295348  0.3036888  -2.840637  72.248573  91.426681  0.0872775  0.9860911
