# Selection as described in the Egamma talk from 20 Jan 2010 confId=121624
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa  twoBodyMa  treeBodyM  mmgDeltaR  kRatio
146944   360   353346210  10.599295  11.517222  25.641250  -0.526722  -1.088159  1.5443209  -2.353482  -2.445799  0.8639429  68.462677  86.273239  0.5687747  1.3164469 
146944   366   362297109  21.728319  24.209589  41.691902  0.3716372  0.1208005  -0.559923  -1.974596  -2.654372  0.4761988  67.388839  94.197448  0.7245756  0.8711926 
146944   437   461848691  19.159374  17.388095  19.200029  0.2320334  0.3039892  1.6543585  1.2255899  1.2701709  -1.490015  44.401184  65.016006  0.0846662  2.8124084 
146944   386   391142768  6.3739075  25.881780  39.418903  -0.442974  -0.688597  0.9090254  -1.631430  -2.466516  0.2669978  84.324386  91.794372  0.8704478  0.9156065 
146944   459   492777001  7.1455311  37.957477  42.108116  -0.630978  0.0307589  0.0629557  2.2603852  2.8985095  -0.284953  80.135704  88.899185  0.9196388  1.2782041 
146944   507   557250033  14.783887  15.472207  30.780191  -0.553074  -0.537057  1.3916269  1.8827105  1.8751920  -1.339488  65.682342  92.158233  0.0176692  0.9574149 
147043   185    26931946  17.710817  23.241565  42.297893  -2.002812  -1.981952  -1.132552  -2.829006  -2.811840  0.5564617  67.756233  89.892997  0.0270847  1.0671742 
147043   197    40424687  10.699487  38.423198  33.158531  1.5992497   1.270877  2.2147285  -0.455427  -0.476318  2.3533096  77.739624  87.061485  0.3291875  1.4787468 
147043   229    78511360  14.770655  17.992954  46.636451  -1.226877  -1.235331  -1.974476  2.1413669  2.1510222  -1.042807  61.665451  83.132576  0.0127005  1.4517290 
147043   328   191934091  21.853160  36.211177  44.231266  1.6594756  1.6793150  1.1002417  2.9422397  2.9313850  -1.397343  70.448860  88.945716  0.0228163  1.1369731 
147043   391   261658567  8.6624412  17.867338  20.136705  -0.553736  -0.535248  2.0804107  0.3652711  0.3610279  -2.813920  75.694625  92.493797  0.0189458  0.9150839 
147048   206   192568925  30.800258  69.872009  40.912487  -1.177126  -0.592518  -1.056687  -0.123492  -0.320654  1.0330736  71.685882  86.663093  0.6170864  1.3392975 
147048   120    82486677  12.727200  19.931411  19.545946  1.1034814  1.0879772  -1.562811  1.9987260  2.0095925  0.7909680  73.060173  93.591697  0.0186336  0.8701703 
147048   170   146707804  6.1638460  17.790819  34.036644  -2.199512  -2.054699  -0.137085  -1.763017  -1.811267  1.3453519  73.091491  86.270660  0.1527660  1.4154492 
147048   102    59250512  5.8899755  33.351154  41.764747  2.2037565  2.2265405  1.3241266  -2.546047  -2.533211  0.6087907  82.618820  89.517852  0.0261450  1.2540741 
147048   332   346186854  10.200082  36.748737  43.370342  -1.434161  -0.872280  -1.543656  0.2698156  0.4651516  -2.616256  84.782417  95.326988  0.5948926  0.5934783 
147048   396   421996556  9.7067766  10.215636  17.770074  -1.742917  -1.560445  0.6613596  -2.465322  -2.409283  1.2093286  45.282672  65.331474  0.1916121  2.8248687 
